,Formula,0,10,20,25,30,40,50,60,70,80,90,100
188,NH4HCO3,10.6,13.7,17.6,19.9,22.4,27.9,34.2,41.4,49.3,58.1,67.6,78.0
189,NH4H2AsO4,25.2,29.0,32.7,34.5,36.3,39.7,43.1,46.2,49.3,52.2,55.0,
190,NH4H2PO4,17.8,22.0,26.4,28.8,31.2,36.2,41.6,47.2,53.0,59.2,65.7,72.4
191,NH4I,60.7,62.1,63.4,64.0,64.6,65.8,66.8,67.8,68.7,69.6,70.4,71.1
192,NH4IO3,,,,3.7,4.2,5.64,7.63,,,,,
193,NH4NO2,55.7,59.0,64.9,68.8,,,,,,,,
194,NH4NO3,54.0,60.1,65.5,68.0,70.3,74.3,77.7,80.8,83.4,85.8,88.2,90.3
195,NH4SCN,,,,64.4,,,,,81.1,,,
196,(NH4)2C2O4,2.31,3.11,4.25,4.94,5.73,7.56,9.73,12.2,15.1,18.3,21.8,25.7
197,(NH4)2HPO4,36.4,38.2,40.0,41.0,42.0,44.1,46.2,48.5,50.9,53.3,55.9,58.6
198,(NH4)2SO3,32.2,34.9,37.7,39.1,40.6,43.7,47.0,50.6,54.5,58.9,,
199,(NH4)2SO4,41.3,42.1,42.9,43.3,43.8,44.7,45.6,46.6,47.5,48.5,49.5,50.5
200,(NH4)2S2O5,65.5,67.9,69.8,70.5,71.3,72.3,72.9,73.1,,,,
201,(NH4)2S2O8,37.0,40.45,43.84,45.49,47.11,50.25,53.28,56.23,59.13,62.0,,
202,(NH4)2SeO3,49.0,51.1,53.4,54.7,56.0,58.9,62.0,65.4,69.1,,,
203,(NH4)2SeO4,,,,54.02,,,,,,,,
204,(NH4)3PO4,,,,15.5,,,,,,,,
205,NaBr,44.4,45.9,47.7,48.6,49.6,51.6,53.7,54.1,54.3,54.5,54.7,54.9
206,NaBrO3,20.0,23.22,26.65,28.28,29.86,32.83,35.55,38.05,40.37,42.52,,
207,NaCHO2,30.8,37.9,45.7,48.7,50.6,52.0,53.5,55.0,,,,
208,NaC2H3O2,26.5,28.8,31.8,33.5,35.5,39.9,45.1,58.3,59.3,60.5,61.7,62.9
209,NaCl,26.28,26.32,26.41,26.45,26.52,26.67,26.84,27.03,27.25,27.5,27.78,28.05
210,NaClO,22.7,,,44.4,,,,,,,,
211,NaClO2,,,,97.0,,,,95.3,,,,
212,NaClO3,44.27,46.67,49.3,50.1,51.2,53.6,55.5,57.0,58.5,60.5,63.3,67.1
213,NaClO4,61.9,64.1,66.2,67.2,68.3,70.4,72.5,74.1,74.7,75.4,76.1,76.7
214,NaF,3.52,3.72,3.89,3.97,4.05,4.2,4.34,4.46,4.57,4.66,4.75,4.82
215,NaHCO3,6.48,7.59,8.73,9.32,9.91,11.13,12.4,13.7,15.02,16.37,17.73,19.1
216,NaHSO4,,,,22.2,,,,,,,,33.3
217,NaH2PO4,36.54,41.07,46.0,48.68,51.54,57.89,61.7,62.3,65.9,68.7,,
218,NaI,61.2,62.4,63.9,64.8,65.7,67.7,69.8,72.0,74.7,74.8,74.9,75.1
219,NaIO3,2.43,4.4,7.78,8.65,9.6,11.67,13.99,16.52,19.25,21.1,22.9,24.7
220,NaIO4,,,,12.62,,,,,,,,
221,NaNO2,41.9,43.4,45.1,45.9,46.8,48.7,50.7,52.8,55.0,57.2,59.5,61.8
222,NaNO3,42.2,44.4,46.6,47.7,48.8,51.0,53.2,55.3,57.5,59.6,61.7,63.8
223,NaOH,30.0,39.0,46.0,50.0,53.0,58.0,63.0,67.0,71.0,74.0,76.0,79.0
224,NaSCN,,52.9,57.1,60.2,62.7,63.5,64.2,65.0,65.9,66.9,67.9,69.0
225,Na2B4O7,1.23,1.71,2.5,3.07,3.82,6.02,9.7,14.9,17.1,19.9,23.5,28.0
226,Na2CO3,6.44,10.8,17.9,23.5,28.7,32.8,32.2,31.7,31.3,31.1,30.9,30.9
227,Na2C2O4,2.62,2.95,3.3,3.48,3.65,4.0,4.36,4.71,5.06,5.41,5.75,6.08
228,Na2CrO4,22.6,32.3,44.6,46.7,46.9,48.9,51.0,53.4,55.3,55.5,55.8,56.1
229,Na2Cr2O7,62.1,63.1,64.4,65.2,66.1,68.0,70.1,72.3,74.6,77.0,79.6,80.7
230,Na2HAsO4,5.6,,,29.3,,,,,,,,67.0
231,Na2HPO4,1.66,4.19,7.51,10.55,16.34,35.17,44.64,45.2,46.81,48.78,50.52,51.53
232,Na2MoO4,30.6,38.8,39.4,39.4,39.8,40.3,41.0,41.7,42.6,43.5,44.5,45.5
233,Na2S,11.1,13.2,15.7,17.1,18.6,22.1,26.7,28.1,30.2,33.0,36.4,41.0
234,Na2SO3,12.0,16.1,20.9,23.5,26.3,27.3,25.9,24.8,23.7,22.8,22.1,21.5
235,Na2SO4,,,16.13,21.94,29.22,32.35,31.55,30.9,30.39,30.02,29.79,29.67
236,Na2S2O3,33.1,36.3,40.6,43.3,45.9,52.0,62.3,65.7,68.8,69.4,70.1,71.0
237,Na2S2O5,,38.4,39.5,40.0,40.6,41.8,43.0,44.2,45.5,46.8,48.1,49.5
238,Na2SeO3,,,,47.3,,,,,,,,45.0
239,Na2SeO4,11.7,,,36.9,,,,,,,,42.1
240,Na2WO4,41.6,41.9,42.3,42.6,42.9,43.6,44.4,45.3,46.2,47.3,48.4,49.5
241,Na3PO4,4.28,7.3,10.8,12.6,14.1,16.6,22.9,28.4,32.4,37.6,40.4,43.5
242,Na4P2O7,2.23,3.28,4.81,6.62,7.0,10.1,14.38,20.07,27.31,36.03,32.37,30.67
243,NdCl3,49.0,49.3,49.7,50.0,50.4,51.2,52.2,53.3,54.5,55.8,57.1,58.5
244,Nd(NO3)3,55.76,57.49,59.37,60.38,61.43,63.69,66.27,69.47,,,,
245,NiCl2,34.7,36.1,38.5,40.3,41.7,42.1,43.2,45.0,46.1,46.2,46.4,46.6
246,Ni(ClO4)2,51.1,,,52.8,,,,,,,,
247,NiF2,,,,2.5,,,,,,,2.52,
248,NiI2,55.4,57.68,59.78,60.69,61.5,62.8,63.73,64.38,64.8,65.09,65.3,
249,Ni(NO3)2,44.1,46.0,48.4,49.8,51.3,54.6,58.3,61.0,63.1,65.6,67.9,69.0
250,NiSO4,21.4,24.4,27.4,28.8,30.3,32.0,34.1,35.8,37.7,39.9,42.3,44.8
251,Ni(SCN)2,,,,35.48,,,,,,,,
252,NiSeO4,21.6,,26.2,,,,,,,,,45.6
253,PbBr2,0.449,0.62,0.841,0.966,1.1179999999999999,1.46,1.89,,,,,
254,PbCl2,0.66,0.81,0.98,1.07,1.17,1.39,1.64,1.93,2.24,2.6,2.99,3.42
255,Pb(ClO4)2,,,,81.5,,,,,,,,
256,PbF2,,0.0603,0.0649,0.067,0.0693,,,,,,,
257,PbI2,0.040999999999999995,0.052000000000000005,0.067,0.076,0.086,0.11199999999999999,0.14400000000000002,0.187,0.243,0.315,,
258,Pb(IO3)2,,,,0.0025,,,,,,,,
259,Pb(NO3)2,28.46,32.13,35.67,37.38,39.05,42.22,45.17,47.9,50.42,52.72,54.82,56.75
260,PbSO4,0.0033,0.0038,0.0042,0.0044,0.0047,0.0052,0.0058,,,,,
261,PrCl3,48.0,48.1,48.6,49.0,49.5,50.8,52.3,54.1,56.1,58.3,,
262,Pr(NO3)3,57.5,59.2,61.16,62.24,63.4,65.7,67.8,70.2,73.4,,,
263,RbBr,47.4,50.1,52.6,53.8,54.9,57.0,58.8,60.6,62.1,63.5,64.8,65.9
264,RbBrO3,0.97,1.55,2.36,2.87,3.45,4.87,6.64,8.78,11.29,14.15,17.32,20.76
265,RbCl,43.58,45.65,47.53,48.42,49.27,50.86,52.34,53.67,54.92,56.08,57.16,58.15
266,RbClO3,2.1,3.38,5.14,6.22,7.45,10.35,13.85,17.93,22.53,27.57,32.96,38.6
